"","X","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"9579",9929,"UQAM",3,"Private","Private Yards","Y","Y2087","FR","FRAM","FRAM","Fraxinus americana","White Ash",820,"Y","Y","USDA/TC/LM",""
"9580",9930,"UQAM",3,"Private","Private Yards","Y","Y2088","QU","QURU","QURU","Quercus rubra","Red Oak",341,"Y","Y","TC/LM",""
"9581",9931,"UQAM",3,"Private","Private Yards","Y","Y2089","QU","QURU","QURU","Quercus rubra","Red Oak",424,"Y","Y","TC/LM",""
"9582",9933,"UQAM",3,"Private","Private Yards","Y","Y2090","AC","ACRU","ACRU","Acer rubrum","Red Maple",329,"Y","Y","USDA/LM/TC",""
"9583",9935,"UQAM",3,"Private","Private Yards","Y","Y2091","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",784,"N","Y","USDA/TC/LM/Mortens",""
"9584",9936,"UQAM",3,"Private","Private Yards","Y","Y2091","AC","ACPL","ACPL","Acer platanoides","Norway Maple",359,"N","N","USDA/TC",""
"9585",9939,"UQAM",3,"Private","Private Yards","Y","Y2092","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",93,"N","N","USDA/TC/LM",""
"9586",9940,"UQAM",3,"Private","Private Yards","Y","Y2092","AC","ACSC","ACSC","Acer saccharum","Sugar Maple",432,"Y","Y","TC/LM",""
"9587",9943,"UQAM",3,"Private","Private Yards","Y","Y2093","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",225,"N","Y","USDA/TC/LM/Mortens",""
"9588",9944,"UQAM",3,"Private","Private Yards","Y","Y2093","AM","AM","AM","Amelanchier","",57,"Y","Y",NA,""
"9589",9945,"UQAM",3,"Private","Private Yards","Y","Y2094","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",51,"N","N","USDA/TC/LM",""
"9590",9946,"UQAM",3,"Private","Private Yards","Y","Y2094","LO","LOTA","LOTA","Lonicera Tatarica ","Tartarian honeysuckle",22,"N","N","USDA",""
"9591",9947,"UQAM",3,"Private","Private Yards","Y","Y2094","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",76,"N","N","USDA/TC/LM",""
