NO SITE,NUMERO CIVIC,ROUTE/PARC,ETAT SITE,ESSENCE,QUANTITE TRONC,DIAMETRE,TYPE DIAMETRE
651,0,DORCHESTER,ARBRE,ACER SACCHARINUM,1,,DHP
205,0,PARC WESTMOUNT,ARBRE,AESCULUS HIPPOCASTANUM,1,,DHP
2119,0,PARC WESTMOUNT,ARBRE,MALUS SP.,1,,DHP
4904,680,ROSLYN,ARBRE,ACER PLATANOIDES,1,42,DHP
6808,371,LANSDOWNE,ARBRE,ACER PLATANOIDES,1,30.000000,DHP
970,0,HALLOWELL,DESACTIVÉ,,0,,DHP
1642,325,LANSDOWNE,ARBRE,MALUS SP.,1,,DHP
3490,0,PARC KING GEORGE,ARBRE,ACER PLATANOIDES,1,,DHP
2908,4251,DE MAISONNEUVE,ARBRE,ACER SACCHARINUM,1,,DHP
4078,525,MOUNT-PLEASANT,ARBRE,ACER PLATANOIDES,1,,DHP
2215,0,PARC WESTMOUNT,ARBRE,ACER PLATANOIDES,1,,DHP
1692,4816,GROSVENOR,ARBRE,GYMNOCLADUS DIOICUS,1,4,DHP
369,0,DORCHESTER,ARBRE,GYMNOCLADUS DIOICUS,1,6,DHP
1640,250,LANSDOWNE,ARBRE,ACER PLATANOIDES,1,22.000000,DHP
736,4574,SHERBROOKE,ARBRE,ACER PLATANOIDES,1,,DHP
6493,0,PARC PRINCE ALBERT,ARBRE,ACER SACCHARINUM,1,,DHP
5460,466,MOUNT-PLEASANT,ARBRE,ACER PLATANOIDES,1,,DHP
3029,234, METCALFE,ARBRE,MALUS SP.,1,,DHP
6124,627,MURRAY HILL,ARBRE,ACER SACCHARUM,1,,DHP
6043,645,LANSDOWNE,ARBRE,ACER SACCHARINUM,1,81,DHP
5822,476,STRATHCONA,ARBRE,PHELLODENDRON AMURENSE,1,,DHP
6368,16,SHORNCLIFFE,ARBRE,ACER RUBRUM,1,34,DHP
1414,343,ROSLYN,ARBRE,JUGLANS NIGRA,1,,DHP
2897,2,PLACE WESTMOUNT (SQUARE),ARBRE,CELTIS OCCIDENTALIS,1,6.000000,DHP
6415,0,JARDIN SURREY,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,5,DHP
6617,364, METCALFE,ARBRE,FAGUS SYLVATICA 'PURPUREA',1,,DHP
744,0,TERRAIN D’ATHLÉTISME (WAG),ARBRE,TILIA AMERICANA,1,,DHP
5372,78,CROISSANT SUMMIT,ARBRE,PICEA ABIES,1,37,DHP
647,0,PARC STAYNER,ARBRE,ACER SACCHARINUM,1,,DHP
6766,0,PARC KING GEORGE,ARBRE,,1,,DHP
6918,714,GROSVENOR,ARBRE,ACER PLATANOIDES,1,4,DHP
6254,0,SUNNYSIDE,ARBRE,ULMUS PUMILA,1,39,DHP
1164,0,TERRAIN D’ATHLÉTISME (WAG),ARBRE,PINUS SYLVESTRIS,1,,DHP
2461,360,ELM,ARBRE,ACER SACCHARINUM,1,67,DHP
6799,0,,DESACTIVÉ,,1,,DHP
3628,341,CÔTE-SAINT-ANTOINE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
4251,18,DE CASSON,ARBRE,ACER SACCHARINUM,1,,DHP
2053,4858,SHERBROOKE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,9,DHP
6323,61,CROISSANT SUMMIT,ARBRE,MALUS SP.,1,17,DHP
1006,0,PARC WESTMOUNT,ARBRE,QUERCUS RUBRA,1,,DHP
2859,222,REDFERN,ARBRE,ACER SACCHARINUM,1,,DHP
6401,0,JARDIN SURREY,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,8,DHP
4581,4706,WESTMOUNT,DESACTIVÉ,,1,,DHP
4548,566,GROSVENOR,ARBRE,ACER PLATANOIDESCK,1,39,DHP
4342,457,ELM,ARBRE,MALUS SP.,1,,DHP
4590,4698,WESTMOUNT,ARBRE,TILIA CORDATA,1,54,DHP
5947,482,LANSDOWNE,ARBRE,ACER SACCHARINUM,1,,DHP
303,235,MELVILLE,ARBRE,ACER SACCHARINUM,1,,DHP
6472,779,UPPER-BELMONT,ARBRE,ACER PLATANOIDES,1,22,DHP
7138,15,,DISPONIBLE,,0,,DHP
5894,90,ARLINGTON,DISPONIBLE,,0,,DHP
6679,0,DORCHESTER,ARBRE,ULMUS PUMILA,1,68.000000,DHS
3752,12,LORRAINE,ARBRE,SYRINGA RETICULATA,1,,DHP
139,11,CÔTE-SAINT-ANTOINE,ARBRE,FRAXINUS PENNSYLVANICA,1,68,DHP
2651,373,OLIVIER,DISPONIBLE,,0,,DHP
896,4006,DORCHESTER,ARBRE,ACER PLATANOIDESCO,1,,DHP
6594,4326,WESTMOUNT,ARBRE,CELTIS OCCIDENTALIS,1,,DHP
1903,0,DORCHESTER,ARBRE,ACER PLATANOIDES,1,,DHP
2101,0,DORCHESTER,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
101,4754,THE BOULEVARD,DESACTIVÉ,,0,,DHP
4787,4773,SHERBROOKE,DESACTIVÉ,,0,,DHP
3149,110,ABBOTT,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
6027,447,GROSVENOR,ARBRE,ACER PLATANOIDES,1,29,DHP
6249,0,SUNNYSIDE,DESACTIVÉ,,1,,DHP
335,0,PARC WESTMOUNT,DISPONIBLE,QUERCUS ALBA,0,,DHP
1543,0,PARC WESTMOUNT,ARBRE,ACER TATARICUM,5,,DHP
4264,420,WOOD,ARBRE,ACER PLATANOIDES,1,65.000000,DHP
807,127,CLANDEBOYE,ARBRE,ACER PLATANOIDES,1,,DHP
1994,0,PARC WESTMOUNT,ARBRE,GINKGO BILOBA,1,,DHP
2815,4386,DE MAISONNEUVE,DESACTIVÉ,ACER SACCHARINUM,0,,DHP
113,674,ROSLYN,ARBRE,SYRINGA RETICULATAIS,1,10,DHP
3073,4075,SAINTE-CATHERINE,ARBRE,ACER PLATANOIDES,1,,DHP
2024,0,PARC WESTMOUNT,ARBRE,QUERCUS RUBRA,1,,DHP
702,0,DORCHESTER,ARBRE,ACER PLATANOIDES,1,,DHP
297,15,MELBOURNE,ARBRE,LIRIODENDRON TULIPIFERA,1,34,DHP
3650,555,LANSDOWNE,ARBRE,ACER PLATANOIDES,1,104,DHP
836,0,PROSPECT,ARBRE,ULMUS AMERICANA,1,,DHP
6268,40,CROISSANT SUMMIT,ARBRE,QUERCUS BICOLOR,1,35,DHP
6274,58,CROISSANT SUMMIT,ARBRE,ACER RUBRUM,1,58,DHP
7129,641,ARGYLE,ARBRE,MALUS SP.,0,9,DHP
3403,0,PARC KING GEORGE,SOUCHE,,0,,DHS
2987,106,BLENHEIM,ARBRE,ACER PLATANOIDESCK,1,,DHP
1816,5008,SHERBROOKE,SOUCHE,,0,25,DHS
5831,450,STRATHCONA,ARBRE,ACER PLATANOIDES,1,,DHP
925,74,COLUMBIA,ARBRE,ACER PLATANOIDES,1,,DHP
1637,250,LANSDOWNE,ARBRE,ACER PLATANOIDES,1,25.000000,DHP
5851,492,STRATHCONA,ARBRE,PICEA PUNGENSGL,1,,DHP
5385,0,CERCLE BELVEDERE,ARBRE,ACER SACCHARUM,1,19,DHP
66,60,COLUMBIA,ARBRE,SORBUS AUCUPARIA,1,7,DHP
5960,542,LANSDOWNE,ARBRE,SYRINGA RETICULATA,1,,DHP
89,0,PARC STAYNER,ARBRE,ACER SACCHARINUM,1,,DHP
3643,611,BELMONT,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
3788,0,PARC PRINCE ALBERT,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
6969,54,CERCLE SUMMIT,ARBRE,PICEA PUNGENS,1,11,DHP
2780,7,PLACE PARK,ARBRE,PRUNUS SP.,1,,DHP
2620,0,KITCHENER,ARBRE,ACER SACCHARUM,1,,DHP
5261,604,CLARKE,ARBRE,ACER PLATANOIDES,1,28,DHP
4340,461,ELM,DISPONIBLE,CRATAEGUS SP.,1,,DHP
2730,0,PARC WESTMOUNT,ARBRE,AMELAEAGNUS ANGUSTIFOLIACHIER CANADENSIS,7,,DHP
6078,624,BELMONT,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,11.000000,DHP
2925,100,AVENUE HILLSIDE,ARBRE,TILIA AMERICANA,1,,DHP
30,371,GROSVENOR,ARBRE,TILIA CORDATA,1,33,DHP
4049,525,MOUNT-PLEASANT,ARBRE,ACER PLATANOIDES,1,,DHP
6712,606,BELMONT,ARBRE,ACER PLATANOIDES,1,69.000000,DHP
2152,0,PARC WESTMOUNT,ARBRE,CATALPA SPECIOSA,1,68.000000,DHP
5687,462,ARGYLE,ARBRE,SYRINGA RETICULATA,1,,DHP
6215,0,EDGEHILL,ARBRE,ROBINIA PSEUDOACACIA,2,30-27,DHP MULTIPLE
2426,336,CLARKE,ARBRE,ACER PLATANOIDES,1,,DHP
6746,372,ELM,DESACTIVÉ,,1,,DHP
1980,0,PARC WESTMOUNT,ARBRE,CATALPA SPECIOSA,1,,DHP
1263,0,PARC WESTMOUNT,ARBRE,PICEA PUNGENS,1,,DHP
2910,0,WOOD,ARBRE,CELTIS OCCIDENTALIS,1,6.000000,DHP
5282,640,ARGYLE,ARBRE,ACER SACCHARINUM,1,70,DHP
6427,0,JARDIN SURREY,ARBRE,ACER PLATANOIDES,1,17,DHP
5918,465,LANSDOWNE,ARBRE,ACER PLATANOIDES,1,,DHP
5142,741,UPPER-ROSLYN,ARBRE,ACER PLATANOIDES,1,23,DHP
4099,533,CLARKE,ARBRE,ACER PLATANOIDES,1,87.000000,DHP
1823,375,CLAREMONT,ARBRE,ACER PLATANOIDES,1,42,DHP
6872,188,CÔTE-SAINT-ANTOINE,SOUCHE,,0,90+,DHS
1900,4156,SAINTE-CATHERINE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
5403,786,LEXINGTON,ARBRE,PICEA PUNGENS,1,36,DHP
6576,1250,GREENE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS 'SKYCOLE' SKYLINE®,1,,DHP
3159,113,BLENHEIM,ARBRE,AMELAEAGNUS ANGUSTIFOLIACHIER CANADENSIS,1,,DHP
3250,4333,SHERBROOKE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
2122,0,PARC WESTMOUNT,,,0,67,DHS
4867,640,GROSVENOR,ARBRE,MALUS SP.,1,10,DHP
2600,365,REDFERN,ARBRE,GINKGO BILOBAPS,1,,DHP
6437,784,UPPER-BELMONT,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,43,DHP
2825,4300,DE MAISONNEUVE,ARBRE,BETULA PENDULA,1,,DHP
2561,359,MELVILLE,ARBRE,ACER RUBRUM,1,26.000000,DHP
4765,556,GROSVENOR,ARBRE,ACER PLATANOIDES,1,76,DHP
4618,570,VICTORIA,ARBRE,ACER PLATANOIDES,1,84,DHP
3207,200,CÔTE-SAINT-ANTOINE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
6080,622,BELMONT,ARBRE,OSTRYA VIRGINIANA,1,,DHP
5,105,SUNNYSIDE,ARBRE,CELTIS OCCIDENTALIS,1,8,DHP
5298,31,AVENUE FORDEN,ARBRE,ACER PLATANOIDES,1,,DHP
4254,4,DE CASSON,ARBRE,ACER PLATANOIDES,1,63,DHP
274,312,KENSINGTON,ARBRE,GINKGO BILOBA,1,,DHP
3806,0,PARC PRINCE ALBERT,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,21.000000,DHP
4713,466,CÔTE-SAINT-ANTOINE,ARBRE,ACER PLATANOIDESCK,1,28,DHP
2783,222,MELVILLE,ARBRE,ULMUS AMERICANAVF,1,,DHP
4802,90,SUNNYSIDE,ARBRE,ACER PLATANOIDES,1,27,DHP
6457,721,UPPER-BELMONT,ARBRE,ACER PLATANOIDES,1,39,DHP
785,0,PARC STAYNER,SOUCHE,,0,85,DHS
261,10,GRENVILLE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS 'HARVE' NORTHERN ACCLAIM®,1,,DHP
2781,0,PLACE PARK,ARBRE,QUERCUS PALUSTRIS,1,,DHP
1569,0,PARC WESTMOUNT,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
5602,4318,MONTROSE,ARBRE,ACER PLATANOIDES,1,52.000000,DHP
1895,4146,SAINTE-CATHERINE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
5019,4737,THE BOULEVARD,ARBRE,PINUS NIGRA VAR. 'AUSTRIACA',1,32,DHP
3462,0,PARC KING GEORGE,ARBRE,ACER PLATANOIDES,1,,DHP
5238,0,PARC DEVON,ARBRE,ACER PLATANOIDES,1,58,DHP
4095,3281,CEDAR,ARBRE,ACER PLATANOIDES,1,,DHP
1907,0,DORCHESTER,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
3498,0,PARC KING GEORGE,ARBRE,ROBINIA PSEUDOACACIA,1,82.000000,DHP
4100,533,CLARKE,ARBRE,ACER PLATANOIDES,1,,DHP
1335,0,PARC WESTMOUNT,ARBRE,ACER PLATANOIDES,1,,DHP
5442,0,PARC DEVON,ARBRE,TILIA AMERICANA,1,39,DHP
5732,185,CÔTE-SAINT-ANTOINE,DISPONIBLE,,0,,DHP
2973,120,LEWIS,SOUCHE,,0,70,DHS
1596,0,PARC WESTMOUNT,ARBRE,CRATAEGUS SP.,2,,DHP
5107,703,GROSVENOR,ARBRE,ACER PLATANOIDES,1,64,DHP
1880,4010,TUPPER,ARBRE,ACER SACCHARINUM,1,35.000000,DHP
2837,0,DE MAISONNEUVE,ARBRE,SYRINGA RETICULATA,1,,DHP
6002,482,ROSLYN,ARBRE,ACER RUBRUM,1,26,DHP
2010,0,PARC WESTMOUNT,ARBRE,QUERCUS RUBRA,1,,DHP
515,0,TERRAIN D’ATHLÉTISME (WAG),ARBRE,POPULUS TREMULOIDESER,1,,DHP
1488,4854,SHERBROOKE,SOUCHE,,0,37,DHS
1995,0,PARC WESTMOUNT,ARBRE,GINKGO BILOBA,1,,DHP
3535,0,PARC KING GEORGE,ARBRE,ROBINIA PSEUDOACACIA,1,,DHP
1868,0,DORCHESTER,ARBRE,ACER PLATANOIDES,1,,DHP
610,470,CÔTE-SAINT-ANTOINE,ARBRE,ULMUS AMERICANANH,1,9,DHP
2796,4453,DE MAISONNEUVE,ARBRE,ACER PLATANOIDES,1,,DHP
1067,75,PROSPECT,ARBRE,ACER X FREEMANIIAR,1,,DHP
5200,777,UPPER-LANSDOWNE,ARBRE,ACER SACCHARINUM,1,53,DHP
7027,0,SUNNYSIDE,ARBRE,JUGLANS CINEREA,1,35,DHP
2502,6,PLACE PARK,ARBRE,ACER PLATANOIDES,1,49,DHP
2366,328,REDFERN,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
3671,606,BELMONT,ARBRE,ACER SACCHARINUM,1,,DHP
5025,690,VICTORIA,ARBRE,ULMUS AMERICANA,2,44,DHP
3992,4343,WESTMOUNT,ARBRE,ACER PLATANOIDESCK,1,,DHP
2175,0,PARC WESTMOUNT,ARBRE,PICEA PUNGENS,1,,DHP
5535,476,MOUNT-PLEASANT,ARBRE,ACER PLATANOIDES,1,,DHP
5578,10,RAMEZAY,SOUCHE,,0,,DHS
357,0,DORCHESTER,ARBRE,ACER X FREEMANII,1,,DHP
5341,32,SHORNCLIFFE,ARBRE,PINUS NIGRA VAR. 'AUSTRIACA',1,29,DHP
5916,475,LANSDOWNE,ARBRE,ACER PLATANOIDES,1,,DHP
174,0,TERRAIN D’ATHLÉTISME (WAG),SOUCHE,,0,,DHP
236,0,JARDIN SURREY,DESACTIVÉ,,0,,DHP
2512,223,MELVILLE,ARBRE,ACER SACCHARINUM,1,,DHP
6747,4842,SAINTE-CATHERINE,ARBRE,,1,,DHP
3328,0,PARC KING GEORGE,ARBRE,QUERCUS ROBURFA,1,48.000000,DHP
6785,0,CHEMIN BELVEDERE,ARBRE,ULMUS AMERICANA,1,42,DHP
1049,0,PARC STAYNER,SOUCHE,,0,45,DHS
2633,349,CLARKE,ARBRE,MALUS SP.,1,,DHP
4144,3270,CEDAR,ARBRE,QUERCUS ALBA,1,,DHP
2442,388,OLIVIER,SOUCHE,,0,45,DHS
1607,0,PARC WESTMOUNT,ARBRE,AMELAEAGNUS ANGUSTIFOLIACHIER CANADENSIS,1,,DHP
880,0,PARC DORCHESTER-CLARKE,ARBRE,ACER NEGUNDO,3,,DHP
4975,4873,WESTMOUNT,ARBRE,ACER PLATANOIDES,1,28,DHP
1119,0,PARC DORCHESTER-CLARKE,ARBRE,ACER SACCHARUM,1,,DHP
6336,6,GORDON,ARBRE,PICEA PUNGENS,1,34,DHP
6044,637,LANSDOWNE,ARBRE,ACER PLATANOIDES,1,35,DHP
2789,267,MELVILLE,ARBRE,ELAEAGNUS ANGUSTIFOLIA,1,,DHP
3335,0,PARC KING GEORGE,ARBRE,QUERCUS RUBRA,1,,DHP
2398,0,KITCHENER,ARBRE,ACER NEGUNDO,2,,DHP
3178,405, METCALFE,ARBRE,GINKGO BILOBA,1,,DHP
5395,841,LEXINGTON,ARBRE,ULMUS PUMILA,1,23,DHP
3974,0,PARC ARGYLE,ARBRE,ACER PLATANOIDES,1,41,DHP
4379,53,DE LAVIGNE,ARBRE,MALUS SP.,1,,DHP
4269,462,WOOD,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,36.000000,DHP
6957,72,CERCLE SUMMIT,ARBRE,ABIES BALSAMEA,1,5,DHP
3429,0,PARC KING GEORGE,ARBRE,QUERCUS ROBUR,3,,DHP
6512,1090,GREENE,ARBRE,PICEA PUNGENS,5,,DHP
6073,634,BELMONT,ARBRE,ULMUS X 'MORTON GLOSSY' TRIUMPH™,1,,DHP
4524,459,CÔTE-SAINT-ANTOINE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,21,DHP
4722,535,VICTORIA,ARBRE,ACER SACCHARINUM,1,39,DHP
5218,215,EDGEHILL,DISPONIBLE,QUERCUS RUBRA,1,,DHP
4059,525,MOUNT-PLEASANT,ARBRE,ACER PLATANOIDES,1,,DHP
5253,0,CLARKE,ARBRE,PICEA ABIES,1,31,DHP
4115,3186,THE BOULEVARD,ARBRE,ACER SACCHARINUM,1,54,DHP
3320,0,PARC KING GEORGE,ARBRE,PINUS SYLVESTRIS,1,,DHP
