NO SITE,NUMERO CIVIC,ROUTE/PARC,ETAT SITE,ESSENCE,QUANTITE TRONC,DIAMETRE,TYPE DIAMETRE
2714,0,PARC WESTMOUNT,ARBRE,CARYA CORDIFORMIS,1,,DHP
6182,650,CARLETON,ARBRE,ACER PLATANOIDES,1,,DHP
2430,331,CLARKE,ARBRE,TILIA AMERICANA,1,61,DHP
1396,4805,DE MAISONNEUVE,ARBRE,ACER RUBRUM,1,,DHP
5842,4571,SHERBROOKE,SOUCHE,,0,75,DHS
5334,22,SHORNCLIFFE,ARBRE,ULMUS AMERICANA,1,40,DHS
2491,0,PARC WESTMOUNT,ARBRE,ACER RUBRUM,1,,DHP
1224,0,PARC WESTMOUNT,ARBRE,PICEA ABIES,1,,DHP
1910,4225,DORCHESTER,ARBRE,TILIA CORDATA,1,,DHP
1448,288,GROSVENOR,ARBRE,ACER SACCHARINUM,1,,DHP
5643,34,THORNHILL,DISPONIBLE,,0,,DHP
1887,4039,TUPPER,DESACTIVÉ,,1,,DHP
83,95,ARLINGTON,ARBRE,QUERCUS RUBRA,1,,DHP
2027,0,PARC WESTMOUNT,ARBRE,QUERCUS RUBRA,1,96.000000,DHP
748,27,WINDSOR,ARBRE,ULMUS AMERICANAVF,1,6,DHP
1383,0,LANSDOWNE,ARBRE,ACER RUBRUM,2,,DHP
4544,571,VICTORIA,ARBRE,ACER PLATANOIDES,1,71,DHP
4107,3236,THE BOULEVARD,ARBRE,ACER X FREEMANIIAR,1,43,DHP
4627,4866,WESTMOUNT,ARBRE,ACER X FREEMANIIAB,1,61,DHP
5021,4737,THE BOULEVARD,ARBRE,PINUS NIGRA VAR. 'AUSTRIACA',1,,DHP
4898,663,GROSVENOR,ARBRE,ACER SACCHARUM,1,65,DHP
761,0,JARDIN QUEEN ELIZABETH,DISPONIBLE,,0,,DHP
5824,472,STRATHCONA,ARBRE,ACER PLATANOIDES,1,,DHP
190,360,CLARKE,DESACTIVÉ,,0,,DHP
6987,85,GORDON,ARBRE,PINUS SYLVESTRIS,1,34,DHP
133,649,GROSVENOR,ARBRE,ACER PLATANOIDES,1,97,DHP
4478,0,PARC KING GEORGE,ARBRE,THUJA OCCIDENTALIS,3,,DHP
6462,731,UPPER-BELMONT,ARBRE,ACER RUBRUM,1,37,DHP
201,631,BELMONT,DESACTIVÉ,,0,,DHP
4232,19,BARAT,ARBRE,PICEA PUNGENS,1,,DHP
4304,5,WILLOW,ARBRE,QUERCUS PALUSTRISGP,1,5,DHP
7052,0,THE BOULEVARD,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,29,DHP
7008,24,CROISSANT SUMMIT,ARBRE,PICEA PUNGENS,0,28,DHP
5825,468,STRATHCONA,ARBRE,AESCULUS GLABRA,1,,DHP
6596,792,UPPER-BELMONT,DESACTIVÉ,QUERCUS BICOLOR,0,,DHP
1456,4795,SAINTE-CATHERINE,ARBRE,ACER PLATANOIDES,1,,DHP
4325,55,HOLTON,ARBRE,SYRINGA RETICULATA,1,16.000000,DHP
4087,3225,CEDAR,ARBRE,PICEA PUNGENS,1,,DHP
734,579,ROSLYN,ARBRE,BETULA NIGRA,1,4,DHP
4226,19,BARAT,ARBRE,PICEA PUNGENS,1,,DHP
2434,331,CLARKE,ARBRE,ACER SACCHARINUM,1,,DHP
5284,609,CLARKE,DISPONIBLE,QUERCUS ALBA,0,,DHP
4688,4,WILLOW,DESACTIVÉ,ACER SP.,0,,DHP
1503,4860,DE MAISONNEUVE,DESACTIVÉ,FRAXINUS PENNSYLVANICA,1,,DHP
2941,169,AVENUE HILLSIDE,ARBRE,ACER SACCHARUM,1,,DHP
6752,4842,SAINTE-CATHERINE,ARBRE,,1,,DHP
2968,126,IRVINE,ARBRE,ACER PLATANOIDES,1,,DHP
167,1304,GREENE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
3808,70,CHESTERFIELD,ARBRE,ACER SACCHARUM,1,34,DHP
6318,0,PARC WESTMOUNT,DESACTIVÉ,PRUNUS SP.,1,,DHP
871,17,PARC WEREDALE,ARBRE,ACER SACCHARINUM,1,,DHP
5321,44,OAKLAND,ARBRE,ACER PLATANOIDES,1,30,DHP
7021,0,CERCLE SUMMIT,ARBRE,PICEA PUNGENS,1,12,DHP
4978,4873,WESTMOUNT,ARBRE,ACER PLATANOIDES,1,23,DHP
1000,0,PARC WESTMOUNT,ARBRE,ACER PLATANOIDES,1,,DHP
4131,3274,CEDAR,ARBRE,ACER PLATANOIDES,1,,DHP
6577,564,VICTORIA,ARBRE,AMELAEAGNUS ANGUSTIFOLIACHIER CANADENSIS,1,2,DHP
2218,0,PARC WESTMOUNT,ARBRE,GINKGO BILOBA,1,,DHP
6921,43,JARDIN SURREY,ARBRE,LARIX LARICINA,0,33,DHP
4324,53,HOLTON,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
1848,322,PRINCE-ALBERT,ARBRE,ACER PLATANOIDES,1,51,DHP
1876,0,TUPPER,ARBRE,ACER PLATANOIDES,1,,DHP
665,0,PARC STAYNER,ARBRE,ACER SACCHARINUM,1,,DHP
4216,19,BARAT,ARBRE,PICEA PUNGENS,1,,DHP
3275,24,SPRINGFIELD,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,24.000000,DHP
439,4574,SHERBROOKE,ARBRE,ACER PLATANOIDES,1,,DHP
3512,0,PARC KING GEORGE,ARBRE,PICEA ABIES,1,,DHP
3151,111,IRVINE,ARBRE,GINKGO BILOBAPS,1,,DHP
1506,104,YORK,ARBRE,FRAXINUS PENNSYLVANICA,1,51,DHP
3657,573,LANSDOWNE,DISPONIBLE,,0,,
3107,0,GREENE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
1445,308,GROSVENOR,ARBRE,ACER PLATANOIDES,1,,DHP
1065,65,PROSPECT,ARBRE,MALUS SP.,1,,DHP
2654,4200,SHERBROOKE,ARBRE,ACER PLATANOIDESCO,1,,DHP
4081,3219,CEDAR,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
3163,4700,SAINTE-CATHERINE,ARBRE,ULMUS AMERICANA,1,,DHP
6583,333,GROSVENOR,DESACTIVÉ,,0,,DHP
3826,57,CHESTERFIELD,ARBRE,ACER PLATANOIDESCO,1,26,DHP
6137,659,MURRAY HILL,ARBRE,PRUNUS SP.,1,,DHP
4708,561,CÔTE-SAINT-ANTOINE,ARBRE,ACER PLATANOIDES,1,74,DHP
5096,692,GROSVENOR,ARBRE,ACER PLATANOIDES,1,104,DHP
3487,0,PARC KING GEORGE,ARBRE,PRUNUS SP.,1,,DHP
3041,4404,DE MAISONNEUVE,DESACTIVÉ,,0,,DHP
4732,487,VICTORIA,ARBRE,ACER PLATANOIDES,1,66,DHP
1967,0,PARC WESTMOUNT,ARBRE,ACER PLATANOIDES,1,,DHP
4356,456,ELM,SOUCHE,,0,,DHS
4824,642,VICTORIA,ARBRE,QUERCUS RUBRA,1,82,DHP
4738,453,VICTORIA,ARBRE,AMELAEAGNUS ANGUSTIFOLIACHIER CANADENSIS,3,10-10-7,DHP MULTIPLE
1668,4830,DE MAISONNEUVE,ARBRE,MALUS SP.,1,,DHP
6826,15,CROISSANT SUMMIT,ARBRE,,1,,DHP
1194,0,PARC WESTMOUNT,ARBRE,TILIA CORDATA,1,,DHP
6031,431,GROSVENOR,DESACTIVÉ,,0,,DHP
3089,4250,DE MAISONNEUVE,ARBRE,ACER PLATANOIDESCO,1,,DHP
3794,12,SAINT-GEORGE'S,ARBRE,GINKGO BILOBA,1,,DHP
4281,28,HOLTON,ARBRE,QUERCUS MACROCARPA,1,,DHP
1546,0,PARC WESTMOUNT,ARBRE,ACER TATARICUM,5,,DHP
3192,4435,SHERBROOKE,ARBRE,ACER SACCHARINUM,1,58.000000,DHP
311,654,GROSVENOR,ARBRE,ACER SACCHARINUM,1,61,DHP
2864,4229,SAINTE-CATHERINE,ARBRE,ACER PLATANOIDES,6,,DHP
1621,0,PARC WESTMOUNT,ARBRE,PINUS SYLVESTRIS,1,,DHP
458,55,WINDSOR,ARBRE,ACER X FREEMANIIAR,1,4,DHP
3145,129,ABBOTT,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
5944,450,LANSDOWNE,ARBRE,ACER PLATANOIDES,1,,DHP
3617,67,CROISSANT FORDEN,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
4955,4732,THE BOULEVARD,ARBRE,PINUS NIGRA VAR. 'AUSTRIACA',1,38,DHP
1407,4822,DE MAISONNEUVE,ARBRE,ACER PLATANOIDES,1,,DHP
5050,122,SUNNYSIDE,ARBRE,ACER PLATANOIDES,1,57,DHP
6158,19,GRENVILLE,DISPONIBLE,GLEDITSIA TRIACANTHOS VAR. INERMIS 'HARVE' NORTHERN ACCLAIM®,0,,DHP
1662,4831,DE MAISONNEUVE,ARBRE,ACER RUBRUM,1,23,DHP
2081,324,BURTON,ARBRE,BETULA PENDULAYO,1,16,DHP
278,27,RENFREW,ARBRE,ACER PLATANOIDES,1,,DHP
568,789,LEXINGTON,DESACTIVÉ,,1,,DHP
3384,0,PARC KING GEORGE,ARBRE,ROBINIA PSEUDOACACIA,1,,DHP
6293,48,ACADEMY,ARBRE,GINKGO BILOBA,1,,DHP
2537,4574,SHERBROOKE,ARBRE,MALUS SP.,1,,DHP
4645,0,NOTRE-DAME-DE-GRÂCE,ARBRE,ACER SACCHARINUM,1,60,DHP
2435,357,CLARKE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
4443,0,PARC KING GEORGE,ARBRE,ROBINIA PSEUDOACACIA,1,,DHP
353,0,DORCHESTER,ARBRE,ACER SACCHARINUM,1,,DHP
1828,73,SOMERVILLE,ARBRE,ACER PLATANOIDES,1,80,DHP
5314,61,OAKLAND,,,1,85,DHS
56,500,ROSLYN,ARBRE,SYRINGA RETICULATAIS,1,10,DHP
6555,4699,WESTMOUNT,DISPONIBLE,CERCIS CANADENSIS,0,,DHP
6446,752,UPPER-BELMONT,ARBRE,ACER PLATANOIDES,1,66,DHP
1139,69,BRUCE,ARBRE,ACER PLATANOIDES,1,60,DHP
2383,377,REDFERN,ARBRE,ACER PLATANOIDES,1,,DHP
7006,24,CROISSANT SUMMIT,ARBRE,PICEA PUNGENS,0,20,DHP
1866,4856,SAINTE-CATHERINE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
3750,425,CLAREMONT,ARBRE,ACER PLATANOIDES,1,30,DHP
672,0,DORCHESTER,ARBRE,ACER SACCHARINUM,1,,DHP
493,0,TERRAIN D’ATHLÉTISME (WAG),ARBRE,POPULUS TREMULOIDESER,1,,DHP
2547,356, METCALFE,ARBRE,ACER PLATANOIDES,1,,DHP
1886,1200,ATWATER,ARBRE,ACER PLATANOIDES,1,,DHP
6724,0,DORCHESTER,ARBRE,ACER PLATANOIDES,1,,DHP
558,489,STRATHCONA,ARBRE,CELTIS OCCIDENTALISPS,1,5,DHP
2023,0,PARC WESTMOUNT,ARBRE,QUERCUS RUBRA,1,,DHP
1388,366,LANSDOWNE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
4242,21,DE CASSON,ARBRE,CARYA CORDIFORMIS,1,,DHP
4179,0,JARDIN QUEEN ELIZABETH,ARBRE,GYMNOCLADUS DIOICUS,1,,DHP
2636,385,CLARKE,DESACTIVÉ,,0,,DHP
5704,101,CÔTE-SAINT-ANTOINE,ARBRE,MALUS SP.,1,,DHP
4317,37,HOLTON,ARBRE,ACER SACCHARINUM,1,,DHP
1584,0,PARC WESTMOUNT,DISPONIBLE,PINUS STROBUS,0,44,DHS
6542,4,PARC GROVE,DESACTIVÉ,,0,,DHP
909,4278,DORCHESTER,ARBRE,GINKGO BILOBA,1,,DHP
2375,341,REDFERN,ARBRE,PHELLODENDRON AMURENSE,1,9.000000,DHP
3376,0,PARC KING GEORGE,ARBRE,PICEA PUNGENSGL,1,,DHP
5215,729,UPPER-LANSDOWNE,ARBRE,ACER PLATANOIDES,1,72,DHP
3773,0,PARC PRINCE ALBERT,ARBRE,ACER PLATANOIDES,1,73.000000,DHP
6986,85,GORDON,ARBRE,PICEA PUNGENS,1,25,DHP
5461,61,CROISSANT ROSEMOUNT,ARBRE,ULMUS PUMILA,1,,DHP
422,4574,SHERBROOKE,ARBRE,ACER PLATANOIDES,1,,DHP
4971,4760,THE BOULEVARD,ARBRE,ACER PLATANOIDES,1,25,DHP
6795,54,OAKLAND,ARBRE,SYRINGA RETICULATAIS,1,17,DHP
3902,635,CARLETON,ARBRE,PICEA PUNGENSGL,1,,DHP
508,399,CLARKE,ARBRE,CELTIS OCCIDENTALISPS,3,8,DHP
6412,0,JARDIN SURREY,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,43,DHP
4517,0,PARC KING GEORGE,ARBRE,ROBINIA PSEUDOACACIA,1,,DHP
6751,4842,SAINTE-CATHERINE,ARBRE,,1,,DHP
3070,4205,SAINTE-CATHERINE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
4315,33,HOLTON,ARBRE,SYRINGA RETICULATA,1,,DHP
6518,614,CARLETON,ARBRE,CERCIDIPHYLUM JAPONICUM,1,,DHP
4908,652,ROSLYN,ARBRE,CERCIDIPHYLUM JAPONICUM,1,2,DHP
6454,724,UPPER-BELMONT,ARBRE,AMELAEAGNUS ANGUSTIFOLIACHIER CANADENSIS,1,8,DHP
3206,200,CÔTE-SAINT-ANTOINE,ARBRE,ROBINIA PSEUDOACACIA,1,31.000000,DHP
1743,295,VICTORIA,ARBRE,SYRINGA RETICULATA,1,5,DHP
2272,0,PARC WESTMOUNT,ARBRE,MALUS SP.,5,,DHP
1646,4646,SHERBROOKE,ARBRE,PICEA PUNGENS,1,,DHP
1706,288,GROSVENOR,ARBRE,CARYA OVATA,1,,DHP
3801,4119,SHERBROOKE,ARBRE,GINKGO BILOBAPS,1,,DHP
2168,0,PARC WESTMOUNT,ARBRE,SYRINGA RETICULATA,1,,DHP
2198,0,PARC WESTMOUNT,DISPONIBLE,,0,50,DHS
4119,4291,MONTROSE,DESACTIVÉ,,1,,DHP
2653,4200,SHERBROOKE,ARBRE,ACER PLATANOIDESCO,1,,DHP
6436,788,UPPER-BELMONT,ARBRE,ACER PLATANOIDES,1,40,DHP
2158,0,PARC WESTMOUNT,ARBRE,MALUS SP.,3,,DHP
525,4300,DE MAISONNEUVE,ARBRE,BETULA PENDULA,1,,DHP
2245,0,PARC WESTMOUNT,ARBRE,,1,,DHP
4273,500,WOOD,ARBRE,ACER PLATANOIDESCO,1,,DHP
3189,410, METCALFE,ARBRE,ACER SACCHARUM,1,,DHP
3925,4345,WESTMOUNT,ARBRE,ACER SACCHARINUM,1,,DHP
5119,106,SUNNYSIDE,ARBRE,CERCIDIPHYLUM JAPONICUM,1,2,DHP
3582,4346,WESTMOUNT,ARBRE,AMELAEAGNUS ANGUSTIFOLIACHIER CANADENSIS,1,17.000000,DHP
477,0,TERRAIN D’ATHLÉTISME (WAG),ARBRE,POPULUS TREMULOIDESER,1,,DHP
1327,0,PARC WESTMOUNT,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
3853,16,WINDSOR,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,34,DHP
479,0,TERRAIN D’ATHLÉTISME (WAG),ARBRE,POPULUS TREMULOIDESER,1,,DHP
6167,1,RENFREW,ARBRE,ACER PLATANOIDES,1,78.000000,DHP
5983,455,ROSLYN,ARBRE,ACER X FREEMANIIAR,1,32,DHP
495,0,TERRAIN D’ATHLÉTISME (WAG),ARBRE,POPULUS TREMULOIDESER,1,,DHP
6985,85,GORDON,ARBRE,PINUS SYLVESTRIS,1,38,DHP
4349,4131,SHERBROOKE,DISPONIBLE,QUERCUS RUBRA,1,,DHP
5035,694,VICTORIA,ARBRE,ACER X FREEMANIIAB,1,4,DHP
2214,0,PARC WESTMOUNT,ARBRE,ACER PLATANOIDES,1,,DHP
7137,13,CROISSANT SUMMIT,ARBRE,SYRINGA RETICULATA,1,30,DHP
6916,695,GROSVENOR,ARBRE,PICEA PUNGENS,1,19,DHP
1219,0,PARC WESTMOUNT,ARBRE,ROBINIA PSEUDOACACIA,1,,DHP
2471,381,ELM,ARBRE,ACER PLATANOIDES,1,,DHP
6128,639,MURRAY HILL,ARBRE,ACER PLATANOIDES,1,96.000000,DHP
2871,4287,DE MAISONNEUVE,ARBRE,ACER PLATANOIDES,1,,DHP
2267,0,PARC WESTMOUNT,ARBRE,TILIA AMERICANA,1,,DHP
5591,4010,MONTROSE,ARBRE,ACER PLATANOIDES,1,78.000000,DHP
4089,536,MOUNT-PLEASANT,ARBRE,ACER NEGUNDO,4,,DHP
215,0,JARDIN QUEEN ELIZABETH,DISPONIBLE,,0,,DHP
3416,0,PARC KING GEORGE,DESACTIVÉ,,0,,DHP
6795,54,,ARBRE,SYRINGA RETICULATAIS,1,20,DHP
981,0,TERRAIN D’ATHLÉTISME (WAG),SOUCHE,,0,60,DHS
4026,512,CLARKE,ARBRE,ACER NEGUNDO,1,,DHP
4647,586,CLAREMONT,DESACTIVÉ,,1,,DHP
5900,354,CÔTE-SAINT-ANTOINE,ARBRE,ACER SACCHARINUM,1,,DHP
1030,0,PARC WESTMOUNT,ARBRE,TILIA CORDATA,1,,DHP
2133,0,PARC WESTMOUNT,ARBRE,TILIA AMERICANA,1,,DHP
4863,650,GROSVENOR,ARBRE,ACER PLATANOIDES,1,50,DHP
4222,19,BARAT,ARBRE,PICEA PUNGENS,1,,DHP
7082,54,CERCLE SUMMIT,ARBRE,MALUS SP.,1,44,DHS
933,51,BRUCE,ARBRE,ACER PLATANOIDES,1,,DHP
6011,551,GROSVENOR,ARBRE,ACER RUBRUM,1,27,DHP
2935,130,AVENUE HILLSIDE,ARBRE,QUERCUS ROBUR,1,,DHP
1425,382,ROSLYN,ARBRE,ACER SACCHARINUM,1,,DHP
5844,4585,SHERBROOKE,ARBRE,ULMUS X 'MORTON GLOSSY' TRIUMPH™,1,5,DHP
2253,0,PARC WESTMOUNT,ARBRE,PINUS RESINOSA,1,,DHP
505,4754,THE BOULEVARD,ARBRE,CELTIS OCCIDENTALISPS,1,10,DHS
6311,614,VICTORIA,DESACTIVÉ,,1,,DHP
6491,0,WESTMOUNT,DISPONIBLE,,0,,DHP
94,531,CLAREMONT,SOUCHE,,0,,DHS
3735,4895,SHERBROOKE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,9,DHP
3896,4363,WESTMOUNT,ARBRE,ACER SACCHARINUM,1,108.000000,DHP
2591,356,REDFERN,ARBRE,SYRINGA RETICULATA,1,,DHP
2627,360,CLARKE,ARBRE,AMELAEAGNUS ANGUSTIFOLIACHIER CANADENSIS,1,,DHP
3781,0,PARC PRINCE ALBERT,ARBRE,CELTIS OCCIDENTALIS,1,31.000000,DHP
5368,78,CROISSANT SUMMIT,ARBRE,PICEA ABIES,1,22,DHP
1965,0,PARC WESTMOUNT,ARBRE,GINKGO BILOBA,1,,DHP
4122,4303,MONTROSE,ARBRE,SYRINGA RETICULATA,2,,DHP
230,0,JARDIN SURREY,DESACTIVÉ,,0,,DHP
4377,49,DE LAVIGNE,ARBRE,ACER PLATANOIDES,1,,DHP
3543,0,PARC KING GEORGE,ARBRE,TAXUS SP.,1,,DHP
6445,754,UPPER-BELMONT,ARBRE,SYRINGA RETICULATA,1,23,DHP
33,399,CLARKE,DESACTIVÉ,,0,,DHP
6940,722,LEXINGTON,ARBRE,ACER PLATANOIDES,1,29,DHP
4185,0,JARDIN QUEEN ELIZABETH,ARBRE,GINKGO BILOBA,1,,DHP
6908,0,PARC PRINCE ALBERT,ARBRE,ULMUS AMERICANA,1,19,DHP
6949,171,EDGEHILL,ARBRE,PICEA PUNGENS,1,10,DHP
1401,4840,DE MAISONNEUVE,ARBRE,ACER SACCHARINUM,1,55,DHP
4347,427,ELM,DISPONIBLE,,0,,DHP
5193,820,CRÊTE LANSDOWNE,ARBRE,PICEA PUNGENS,1,45,DHP
704,60,SAINT-SULPICE,ARBRE,ACER PLATANOIDES,1,45,DHP
55,489,MOUNT-PLEASANT,ARBRE,TILIA AMERICANA,1,8,DHP
1385,386,LANSDOWNE,ARBRE,ACER NEGUNDO,2,,DHP
2066,23,WINCHESTER,ARBRE,MALUS SP.,1,27,DHP
648,0,PARC STAYNER,ARBRE,ACER SACCHARINUM,1,,DHP
7089,52,CERCLE SUMMIT,ARBRE,PICEA GLAUCA,1,36,DHP
6590,4350,MONTROSE,ARBRE,ACER SACCHARINUM,1,,DHP
5888,48,ARLINGTON,ARBRE,ACER SACCHARINUM,1,,DHP
908,4274,DORCHESTER,ARBRE,QUERCUS RUBRA,1,,DHP
618,0,PARC WESTMOUNT,ARBRE,PYRUS COMMUNISSA,1,,DHP
3744,4843,SHERBROOKE,SOUCHE,,0,27,DHS
2100,4154,SAINTE-CATHERINE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,0,,DHP
1368,4695,DE MAISONNEUVE,ARBRE,ACER PLATANOIDES,1,,DHP
3875,572,CÔTE-SAINT-ANTOINE,SOUCHE,,0,,DHP
854,0,PROSPECT,SOUCHE,,0,61,DHS
5890,62,ARLINGTON,ARBRE,SYRINGA RETICULATA,1,,DHP
138,11,CÔTE-SAINT-ANTOINE,ARBRE,GINKGO BILOBA,1,,DHP
4918,609,ROSLYN,DISPONIBLE,,0,,DHP
653,0,PARC STAYNER,ARBRE,CARPINUS CAROLINIANA,1,46,DHP
6922,43,JARDIN SURREY,ARBRE,PICEA ABIES,0,45,DHP
130,522,CLARKE,ARBRE,ACER SACCHARINUM,1,,DHP
1921,3233,SAINT-ANTOINE,ARBRE,FRAXINUS AMERICANA,1,,DHP
88,0,PARC STAYNER,DESACTIVÉ,,0,,DHP
712,0,PARC SELBY,DESACTIVÉ,,0,,DHP
5478,449,MOUNTAIN,DESACTIVÉ,AESCULUS X CARNEA,1,,DHP
2801,11,INGLESIDE,ARBRE,ACER SACCHARINUM,1,73.000000,DHP
2349,333,KENSINGTON,ARBRE,ACER SACCHARINUM,1,,DHP
4255,2,DE CASSON,ARBRE,ACER PLATANOIDES,1,,DHP
5204,763,UPPER-LANSDOWNE,ARBRE,CELTIS OCCIDENTALIS,1,15,DHP
4658,14,WILLOW,ARBRE,SYRINGA RETICULATA,1,14,DHP
4900,671,GROSVENOR,ARBRE,ACER X FREEMANIIAB,1,4,DHP
1153,0,PARC DORCHESTER-CLARKE,ARBRE,PICEA GLAUCA,1,,DHP
5334,22,SHORNCLIFFE,ARBRE,MALUS SP.,1,17,DHP
1403,4832,DE MAISONNEUVE,ARBRE,ACER PLATANOIDES,1,42,DHP
6036,4775,SHERBROOKE,ARBRE,ACER X FREEMANIIAB,1,,DHP
7124,0,EDGEHILL,ARBRE,PINUS STROBUS,1,10,DHP
5663,4342,MONTROSE,DISPONIBLE,,0,,DHP
539,4420,SAINTE-CATHERINE,ARBRE,TILIA AMERICANA,1,,DHP
1231,0,PARC WESTMOUNT,ARBRE,PINUS STROBUS,1,,DHP
2582,315,KENSINGTON,ARBRE,SYRINGA RETICULATA,3,,DHP
2147,0,PARC WESTMOUNT,ARBRE,ULMUS AMERICANA,3,,DHP
298,17,MELBOURNE,ARBRE,PHELLODENDRON AMURENSE,1,7,DHP
5974,509,ROSLYN,ARBRE,ACER SACCHARINUM,1,36,DHP
2774,4515,SAINTE-CATHERINE,ARBRE,ACER PLATANOIDES,1,,DHP
1320,0,PARC WESTMOUNT,ARBRE,BETULA PAPYRIFERA,1,,DHP
578,4700,SAINTE-CATHERINE,DESACTIVÉ,,0,,DHP
319,424, METCALFE,ARBRE,ACER X FREEMANIIAR,1,7,DHP
2924,100,AVENUE HILLSIDE,ARBRE,TILIA CORDATA,1,,DHP
1480,327,VICTORIA,SOUCHE,,0,80,DHS
3435,0,PARC KING GEORGE,ARBRE,ACER PLATANOIDES,1,,DHP
1556,0,PARC WESTMOUNT,DISPONIBLE,,0,69,DHS
5886,40,ARLINGTON,ARBRE,FRAXINUS PENNSYLVANICA,1,,DHP
5586,24,RAMEZAY,ARBRE,PICEA PUNGENS,1,,DHP
979,0,JARDIN COMMUNAUTAIRE HILLSIDE,ARBRE,ACER SACCHARINUM,1,,DHP
3538,0,PARC KING GEORGE,ARBRE,GINKGO BILOBA,1,,DHP
6470,771,UPPER-BELMONT,ARBRE,PHELLODENDRON AMURENSE,1,6,DHP
1278,0,PARC WESTMOUNT,ARBRE,MALUS SP.,1,,DHP
209,459,LANSDOWNE,ARBRE,QUERCUS RUBRA,1,,DHP
1949,0,PARC WESTMOUNT,ARBRE,CELTIS OCCIDENTALIS,1,,DHP
2775,4515,SAINTE-CATHERINE,ARBRE,OSTRYA VIRGINIANA,1,,DHP
832,0,PROSPECT,ARBRE,ACER NEGUNDO,1,,DHP
4774,502,GROSVENOR,ARBRE,ACER SACCHARINUM,1,72,DHP
3899,621,CARLETON,ARBRE,PICEA PUNGENSGL,1,,DHP
1360,0,PARC WESTMOUNT,ARBRE,ACER SACCHARINUM,1,,DHP
1078,0,PROSPECT,ARBRE,,1,,DHP
3261,4333,SHERBROOKE,ARBRE,PICEA ABIES,1,,DHP
6173,21,RENFREW,ARBRE,ACER RUBRUM,1,,DHP
6951,171,EDGEHILL,ARBRE,PICEA PUNGENS,1,10,DHP
9,124,CLANDEBOYE,DESACTIVÉ,,0,,DHP
6791,371,LANSDOWNE,ARBRE,ACER PLATANOIDES,1,31.000000,DHP
5188,812,UPPER-LANSDOWNE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,24,DHP
1654,386,LANSDOWNE,ARBRE,TILIA CORDATA,1,,DHP
1146,0,BRUCE,ARBRE,SYRINGA RETICULATA,1,,DHP
5076,93,SUNNYSIDE,ARBRE,ACER RUBRUM,1,32,DHP
1452,4821,SAINTE-CATHERINE,ARBRE,ACER SACCHARINUM,1,,DHP
323,83,STAYNER,DESACTIVÉ,,0,,DHP
3714,602,CÔTE-SAINT-ANTOINE,DESACTIVÉ,QUERCUS ROBUR,1,,DHP
2568,4444,SHERBROOKE,ARBRE,MALUS SP.,1,,DHP
4403,0,PARC KING GEORGE,ARBRE,GINKGO BILOBA,1,,DHP
5766,464,MOUNT-STEPHEN,ARBRE,ACER PLATANOIDES,1,,DHP
4686,5,WILLOW,ARBRE,QUERCUS ROBURFA,1,16,DHP
2106,3163,SAINT-ANTOINE,ARBRE,PICEA GLAUCA,1,,DHP
6530,659,LANSDOWNE,ARBRE,ACER X FREEMANIIAB,1,4,DHP
6103,638,MURRAY HILL,ARBRE,SYRINGA RETICULATA,1,,DHP
3804,0,BARAT,DESACTIVÉ,QUERCUS BICOLOR,1,,DHP
4228,19,BARAT,ARBRE,PICEA PUNGENS,1,,DHP
2064,14,WINCHESTER,ARBRE,GINKGO BILOBA,1,21,DHP
6286,4795,SAINTE-CATHERINE,ARBRE,ULMUS PROPINQUA 'JFS-BIEBERICH' EMERALD SUNSHINE®,1,,DHP
5978,485,ROSLYN,SOUCHE,ACER PLATANOIDES,1,57,DHP
5903,551,LANSDOWNE,ARBRE,ACER SACCHARUM,1,65.000000,DHP
5560,493,MOUNT-PLEASANT,ARBRE,ACER PLATANOIDES,1,,DHP
4303,31,WILLOW,ARBRE,ACER RUBRUM,1,9,DHP
6218,218,EDGEHILL,ARBRE,ACER PLATANOIDES,1,30,DHP
4698,26,WILLOW,ARBRE,ACER PLATANOIDES,1,33,DHP
3936,619,SYDENHAM,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
