fid,OBJECTID,SITE_REF,GlobalID_2,NUM_CIVIC,VOIE_ESPVT,ETAT_SITE,ESSENCE,QUE_TR,DIST_CHAIN,LIGN_RUE,DIAMETRE,TYPE_EMP,PROPRIETE,STATUT,RENFORT_1,RENFORT_2,OBST_1,OBST_2,PB_INS,PB_MAL,PB_STR_1,PB_STR_2,PB_PHY_AB,COD_GEN,DANGEREUX,CMTS,PRESC_PLAN,PRESC_PRIO,PRESC_ID,PRESC_CMTS,INV_REAL,INV_DATE,INV_ID,DESC_COMM,TYP_DIAM
"157","1178","1190",{D0F28A40-475F-41B9-AFD0-9EFB3A52F516},"0",VOPA_100,ARBRE,SYRE,"1",,,"14",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"90",NON, ,AUC,,, ,O,2021-10-05T19:10:18.000,TVJV,,DHP
"158","1179","1191",{5CB8B84F-FB8A-43B2-9FCB-9121F2A80334},"0",VOPA_100,ARBRE,MASP,"1",,,"28",PARC,PUB,COMME,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"75",NON, ,AUC,,, ,O,2021-10-05T19:23:31.000,TVJV,Carol Joy Penso Brief,DHP
"159","1181","1193",{843FB3D9-EA6C-4EF3-A02D-52077D0AC1EA},"0",VOPA_100,ARBRE,ACPL,"1",,,"50",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,CHEBC,TEMCI,BLSTR,ABSRAC,"35",NON,,ABSECT,2023,TVERTE, ,O,2021-10-05T19:17:15.000,TVJV,,DHP
"160","1182","1194",{79F77026-025B-4812-B8CC-91A1702ECBF5},"0",VOPA_100,ARBRE,TICO,"1",,,"19",PARC,PUB,COMME,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"80",NON,,AUC,,, ,O,2021-10-05T19:37:24.000,TVJV,Lilita Lidums Skapsts 19292005,DHP
"161","1184","1196",{6BEC7546-3765-4BD0-B8C1-E08ACF38DFEE},"0",VOPA_100,ARBRE,GYDI,"1",,,"17",PARC,PUB,COMME,AUC,AUC,AUC,AUC,AUC,AUC,BRXCI,AUC,AUC,"90",NON,,ELASSA,2024,TVERTE, ,O,2021-10-05T20:24:25.000,TVJV,Plaque missing,DHP
"162","1185","1197",{A163156A-E340-4615-96B3-BD834ED20E1F},"0",VOPA_100,ARBRE,GYDI,"1",,,"14",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"90",NON, ,AUC,,, ,O,2021-10-05T20:29:27.000,TVJV,,DHP
"163","1186","1198",{A19A12E5-B485-4081-9BB4-B3F1E5169D2D},"0",VOPA_100,ARBRE,MASP,"1",,,"25",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"70",NON,fente,AUC,,, ,O,2021-10-05T19:41:10.000,TVJV,,DHP
"164","1187","1199",{692B7FF1-186F-4B5A-817E-9B2F368A8BC6},"0",VOPA_100,ARBRE,SASP,"1",,,"27",PARC,PUB,COMME,AUC,AUC,AUC,AUC,AUC,AUC,BLLTR,AUC,AUC,"70",NON,,AUC,,, ,O,2021-10-05T19:50:24.000,TVJV,Michael w. Guthrie,DHP
"165","1188","1200",{B622422F-0FC4-47AC-86FE-134E226BA126},"0",VOPA_100,ARBRE,SASP,"2",,,"28,16",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,FOFTR,CARRAC,AUC,"60",NON,"drageons. Leave log in place, it’s from the mother tree. PD",ELASSA,2023,TVERTE, retirer 1 tronc (16cm) à cause de la fourche basale faible et carie au collet,O,2021-10-05T19:47:24.000,TVJV,,DHP_X
"166","1190","1202",{1B10A408-61C7-45C4-B1CE-ABD4EEF4BB81},"0",VOPA_100,ARBRE,GYDI,"1",,,"18",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"85",NON,,AUC,,, ,O,2021-10-05T20:30:42.000,TVJV,,DHP
