FID,OBJECTID,SITE_REF,GlobalID_2,NUM_CIVIC,VOIE_ESPVT,ETAT_SITE,ESSENCE,QUE_TR,DIST_CHAIN,LIGN_RUE,DIAMETRE,TYPE_EMP,PROPRIETE,STATUT,RENFORT_1,RENFORT_2,OBST_1,OBST_2,PB_INS,PB_MAL,PB_STR_1,PB_STR_2,PB_PHY_AB,COD_GEN,DANGEREUX,CMTS,PRESC_PLAN,PRESC_PRIO,PRESC_ID,PRESC_CMTS,INV_REAL,INV_DATE,INV_ID,DESC_COMM,TYP_DIAM,ATTACHMENT,REL_GLOBAL,CONTENT_TY,ATT_NAME,DATA_SIZE,GLOBALID
21,4149,4182,{0361C1EE-92AB-4456-97A5-D0C1680315C2},0,VOPA_066,ARBRE,ACRU,1,0.000000000000000,0.000000000000000,46,PARC,PUB,AUC,AUC,AUC,TROPUB,AUC,AUC,AUC,RAETR,AUC,AUC,80,NON, ,ELDEGA,2023.000000000000000,TVERTE, ,O,2021-10-04 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
22,4150,4183,{979FEBEF-61A6-46BF-8C3E-EC4F9725839D},0,VOPA_066,ARBRE,GIBI,1,0.000000000000000,0.000000000000000,28,PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,80,NON, ,AUC,0.000000000000000, , ,O,2021-10-04 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
23,4151,4184,{B9FF7AF9-28CB-4989-AB16-A41C999468E7},0,VOPA_066,ARBRE,MASP,3,0.000000000000000,0.000000000000000,34,PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,FENBC,BOMCI,BLMBC,65,NON, ,ELASSA,2024.000000000000000,TVERTE, ,O,2021-10-04 0:00:00,TVJV, ,DHS,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
24,4152,4185,{21810BEF-E03F-4A93-915B-C18A4DF2FCE2},0,VOPA_066,ARBRE,GIBI,1,0.000000000000000,0.000000000000000,22,PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,80,NON, ,AUC,0.000000000000000, , ,O,2021-10-04 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
25,4153,4186,{E6E831EF-C4ED-47EA-8531-62B81DF17536},0,VOPA_066,ARBRE,ACNE,1,0.000000000000000,0.000000000000000,57,PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,FOFTR,BLSBS,DEP50,40,NON," inclinaison tronc, cavité/carie branches charpentières, bois mort en cime, houppier déséquilibré",ABSECT,2022.000000000000000,TVERTE,"Rupture dead branches TV: après élagageréinspection fourche faible et dépérissement dans 2 ans
TVJV : défauts nombreux, cime dépérissant",O,2021-10-04 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
26,4154,4187,{471F97F9-1EB6-4ECB-A2FF-87E26B52246C},0,VOPA_066,ARBRE,GIBI,1,0.000000000000000,0.000000000000000,27,PARC,PUB,AUC,AUC,AUC,LAMPFO,ARBRE,AUC,AUC,AUC,AUC,AUC,75,NON, ,ELCOMP,2023.000000000000000,TVERTE," dégagement lampadaire et arbre voisin, allégement tête codominante côté E",O,2021-10-04 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
27,4155,4188,{19997192-5FFF-4583-B289-035F9C50B1A9},0,VOPA_066,ARBRE,GIBI,1,0.000000000000000,0.000000000000000,14,PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,BCDCI,FAETR,AUC,80,NON, ,ELALLE,2024.000000000000000,TVERTE, allègement tête codominante côté NO,O,2021-10-04 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
28,4156,4189,{A46000B3-7216-4B7D-B276-3BCDEB31C120},0,VOPA_066,ARBRE,GIBI,1,0.000000000000000,0.000000000000000,12,PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,80,NON, ,AUC,0.000000000000000, , ,O,2021-10-04 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
29,4157,4190,{F07FEB84-ACD4-4EA4-8CA6-79D1F448D25E},0,VOPA_066,ARBRE,GIBI,1,0.000000000000000,0.000000000000000,24,PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,80,NON, ,AUC,0.000000000000000, , ,O,2021-10-04 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
30,4158,4191,{B1D0914C-6372-400D-B0A1-1F940748AFA9},0,VOPA_066,ARBRE,ACPLCK,1,0.000000000000000,0.000000000000000,17,PARC,PUB,COMME,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,70,NON,AJOUTER PLAQUE COMMÃ‰MORATIVE,AUTRE,2022.000000000000000,WEEQIN,Rallonger la chaÃ®ne,N,, ,"Chaine encastré Jay Weiss 1945-2008 chain stuck in tree,",DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
