fid,ObjectId,GS Type,Sample Site,No_civique,Species Code,Species Latin,ESSENCE_AN,DBH,Date_relev,Longitude,Latitude,GlobalID
4538,196550,Street,Avenue Lincoln,1981,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,5,5/24/2013 12:00:00 AM,-73.583691,45.493296,3822dbc9-5bc7-4f94-ac41-3f133408ca2a
4546,196558,Street,Avenue Lincoln,N/A,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,5,5/24/2013 12:00:00 AM,-73.582954,45.493897,fa73fd9d-adae-4cc8-a43a-cce3fe9a057b
4549,196561,Street,Avenue Lincoln,1850,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,5,6/1/2012 12:00:00 AM,-73.582419,45.494169,11f5900d-dc76-4d80-a467-1481607f77ff
4564,196576,Street,Avenue Lincoln,2094,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,5,6/1/2012 12:00:00 AM,-73.584638,45.492355,a171d119-3505-455c-9a48-bc8c1e719231
12904,204128,Street,Rue Saint-Mathieu,1160,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,8,1/10/2012 12:00:00 AM,-73.576993,45.492432,1235be5b-b218-440a-a9dc-d30c35eda634
13201,204425,Street,Rue Saint-Marc,1220,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,6,1/12/2012 12:00:00 AM,-73.57906,45.491954,349d1621-1301-467b-975e-06f706168860
13649,204486,Street,Rue Saint-Mathieu,1278,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,5,6/4/2012 12:00:00 AM,-73.578898,45.493533,66f345e4-b4bc-47dd-8b6d-6fd89445da84
14312,205147,Street,Rue Towers,1409,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,5,5/30/2012 12:00:00 AM,-73.5811,45.492488,2ec3e0f2-9caf-4edf-a4b5-d8502b64015d
14354,205189,Street,Rue Tupper,1961,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,5,6/1/2012 12:00:00 AM,-73.580411,45.491534,b5cfae6d-81c3-4531-ab1e-08886c7a7fdf
14355,205190,Street,Rue Tupper,1961,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,5,6/1/2012 12:00:00 AM,-73.580504,45.491453,21891407-370a-4fac-aa95-f333b4f8abab
14378,205213,Street,Rue Tupper,1950,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,12,1/19/2012 12:00:00 AM,-73.580117,45.491665,75b1711d-9321-4990-8811-a9671b086370
15108,206324,Street,Rue du Fort,N/A,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,5,6/1/2012 12:00:00 AM,-73.584049,45.493434,38b99f73-869d-490d-adbb-671211028318
15549,205968,Street,Rue Sherbrooke Ouest,N/A,ACPLCO,Acer platanoides 'Columnare',Columnare Norway Maple,34,3/6/2012 12:00:00 AM,-73.585291,45.493139,c2030936-3e97-406b-b845-1b78effe25b6
901,40297,Parc,SAINT-MARC/RENÉ-LÉVESQUE,N/A,ACPLDE,Acer platanoides 'Deborah',Deborah Norway Maple,16,12/11/2019 12:00:00 AM,-73.577772,45.491255,275903aa-05b6-4065-aba4-b08831f1cd49
902,40298,Parc,SAINT-MARC/RENÉ-LÉVESQUE,N/A,ACPLDE,Acer platanoides 'Deborah',Deborah Norway Maple,16,12/11/2019 12:00:00 AM,-73.577866,45.491306,958333c1-528a-49d4-b705-2dc4a03f6f70
903,40299,Parc,SAINT-MARC/RENÉ-LÉVESQUE,N/A,ACPLDE,Acer platanoides 'Deborah',Deborah Norway Maple,16,12/11/2019 12:00:00 AM,-73.57795,45.491351,4267e315-8889-43ca-867b-54bbd75f2e8c
904,40300,Parc,SAINT-MARC/RENÉ-LÉVESQUE,N/A,ACPLDE,Acer platanoides 'Deborah',Deborah Norway Maple,14,12/11/2019 12:00:00 AM,-73.578015,45.49139,e701b493-d4e6-4a1d-8a48-8e0052aa3325
905,40301,Parc,SAINT-MARC/RENÉ-LÉVESQUE,N/A,ACPLDE,Acer platanoides 'Deborah',Deborah Norway Maple,15,12/11/2019 12:00:00 AM,-73.578099,45.491438,00b28b84-9c13-4d68-89bf-d793db04d831
906,40302,Parc,SAINT-MARC/RENÉ-LÉVESQUE,N/A,ACPLDE,Acer platanoides 'Deborah',Deborah Norway Maple,16,12/11/2019 12:00:00 AM,-73.578177,45.491481,2fa08075-1975-420e-9136-5b7057d2d840
