"","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"71","Dawson",1,"Public","Alley","A","A11","RH","RHCA","RHCA","Rhamnus cathartica","European Buckthorn",24.5,"N","N","USDA/TC/Mortens",""
"72","Dawson",1,"Public","Alley","A","A11","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",48.3,"Y","Y","USDA/TC/Mortens/LM",""
"73","Dawson",1,"Public","Alley","A","A11","PI","PIMA","PIMA","Picea mariana","Black spruce",5.1,"Y","Y","USDA/TC/LM",""
"74","Dawson",1,"Public","Alley","A","A11","SY","SYVU","SYVU","Syringa vulgaris","Common Lilac",7.8,"N","N","USDA/TC/Mortens",""
"75","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",33.9,"Y","Y","USDA/TC/Mortens/LM",""
"76","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",28.2,"Y","Y","USDA/TC/Mortens/LM",""
"77","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",28.5,"Y","Y","USDA/TC/Mortens/LM",""
"78","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",26.3,"Y","Y","USDA/TC/Mortens/LM",""
"79","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",27.5,"Y","Y","USDA/TC/Mortens/LM",""
"80","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",27.6,"Y","Y","USDA/TC/Mortens/LM",""
"81","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",25.1,"Y","Y","USDA/TC/Mortens/LM",""
"82","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",29.1,"Y","Y","USDA/TC/Mortens/LM",""
"83","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",28.1,"Y","Y","USDA/TC/Mortens/LM",""
"84","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",23.6,"Y","Y","USDA/TC/Mortens/LM",""
"85","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",31,"Y","Y","USDA/TC/Mortens/LM",""
"86","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",19.1,"Y","Y","USDA/TC/Mortens/LM",""
"87","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",25.8,"Y","Y","USDA/TC/Mortens/LM",""
"88","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",19,"Y","Y","USDA/TC/Mortens/LM",""
"89","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",21.5,"Y","Y","USDA/TC/Mortens/LM",""
"90","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",18.2,"Y","Y","USDA/TC/Mortens/LM",""
"91","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",12,"Y","Y","USDA/TC/Mortens/LM",""
"92","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",13.3,"Y","Y","USDA/TC/Mortens/LM",""
"93","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",19.5,"Y","Y","USDA/TC/Mortens/LM",""
"94","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",19,"Y","Y","USDA/TC/Mortens/LM",""
"95","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",22.5,"Y","Y","USDA/TC/Mortens/LM",""
"96","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",10.7,"Y","Y","USDA/TC/Mortens/LM",""
"97","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",18.2,"Y","Y","USDA/TC/Mortens/LM",""
"98","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",21.9,"Y","Y","USDA/TC/Mortens/LM",""
"99","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",37,"Y","Y","USDA/TC/Mortens/LM",""
"100","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",17.1,"Y","Y","USDA/TC/Mortens/LM",""
"101","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",24.4,"Y","Y","USDA/TC/Mortens/LM",""
"102","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",31.3,"Y","Y","USDA/TC/Mortens/LM",""
"103","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",23.5,"Y","Y","USDA/TC/Mortens/LM",""
"104","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",25,"Y","Y","USDA/TC/Mortens/LM",""
"105","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",21.6,"Y","Y","USDA/TC/Mortens/LM",""
"106","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",23.3,"Y","Y","USDA/TC/Mortens/LM",""
"107","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",24.6,"Y","Y","USDA/TC/Mortens/LM",""
"108","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",21.5,"Y","Y","USDA/TC/Mortens/LM",""
"109","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",27.1,"Y","Y","USDA/TC/Mortens/LM",""
"110","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",23.2,"Y","Y","USDA/TC/Mortens/LM",""
"111","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",35.7,"Y","Y","USDA/TC/Mortens/LM",""
"112","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",16.2,"Y","Y","USDA/TC/Mortens/LM",""
"113","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",31.5,"Y","Y","USDA/TC/Mortens/LM",""
"114","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",24.3,"Y","Y","USDA/TC/Mortens/LM",""
"115","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",23.3,"Y","Y","USDA/TC/Mortens/LM",""
"116","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",19.9,"Y","Y","USDA/TC/Mortens/LM",""
"117","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",19.5,"Y","Y","USDA/TC/Mortens/LM",""
"118","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",26.2,"Y","Y","USDA/TC/Mortens/LM",""
"119","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",22.4,"Y","Y","USDA/TC/Mortens/LM",""
"120","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",15,"Y","Y","USDA/TC/Mortens/LM",""
"121","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",33.1,"Y","Y","USDA/TC/Mortens/LM",""
"122","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",21.1,"Y","Y","USDA/TC/Mortens/LM",""
"123","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",28.5,"Y","Y","USDA/TC/Mortens/LM",""
"124","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",4.7,"Y","Y","USDA/TC/Mortens/LM",""
"125","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",22.7,"Y","Y","USDA/TC/Mortens/LM",""
"126","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",17.1,"Y","Y","USDA/TC/Mortens/LM",""
"127","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",24.4,"Y","Y","USDA/TC/Mortens/LM",""
"128","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",24.6,"Y","Y","USDA/TC/Mortens/LM",""
"129","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",27.3,"Y","Y","USDA/TC/Mortens/LM",""
"130","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",33.7,"Y","Y","USDA/TC/Mortens/LM",""
"131","Dawson",1,"Private","Institutional","I","I4","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",40.5,"N","Y","USDA/TC/LM",""
"132","Dawson",1,"Private","Institutional","I","I4","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",32,"N","Y","USDA/TC/LM",""
"133","Dawson",1,"Private","Institutional","I","I4","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",41,"N","Y","USDA/TC/LM",""
"134","Dawson",1,"Private","Institutional","I","I4","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",24.8,"N","Y","USDA/TC/LM",""
"135","Dawson",1,"Private","Institutional","I","I4","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",41.6,"N","Y","USDA/TC/LM",""
"136","Dawson",1,"Private","Institutional","I","I4","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",34.5,"N","Y","USDA/TC/LM",""
"137","Dawson",1,"Private","Institutional","I","I4","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",22.3,"N","Y","USDA/TC/LM",""
"138","Dawson",1,"Private","Institutional","I","I4","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",35,"N","Y","USDA/TC/LM",""
"139","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",44.2,"Y","Y","USDA/TC/Mortens/LM",""
"140","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",31.8,"Y","Y","USDA/TC/Mortens/LM",""
"141","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",21.4,"Y","Y","USDA/TC/Mortens/LM",""
"142","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",29.8,"Y","Y","USDA/TC/Mortens/LM",""
"143","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",34.5,"Y","Y","USDA/TC/Mortens/LM",""
"144","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",26.1,"Y","Y","USDA/TC/Mortens/LM",""
"145","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",25.2,"Y","Y","USDA/TC/Mortens/LM",""
"146","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",26.5,"Y","Y","USDA/TC/Mortens/LM",""
"147","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",15.4,"Y","Y","USDA/TC/Mortens/LM",""
"148","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",26.7,"Y","Y","USDA/TC/Mortens/LM",""
"149","Dawson",1,"Private","Institutional","I","I4","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",23,"Y","Y","USDA/TC/Mortens/LM",""
"150","Dawson",1,"Private","Institutional","I","I6","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",11,"N","Y","USDA/TC/LM/Mortens",""
"151","Dawson",1,"Private","Institutional","I","I6","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",5,"N","Y","USDA/TC/LM/Mortens",""
"152","Dawson",1,"Private","Institutional","I","I6","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",5,"N","Y","USDA/TC/LM/Mortens",""
"153","Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",40,"N","N","USDA/TC",""
"154","Dawson",1,"Private","Institutional","I","I6","AE","AEHI","AEHI","Aesculus hippocastanum","Common Horsechesnut",47,"N","N","USDA/TC/Mortens",""
"155","Dawson",1,"Private","Institutional","I","I6","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",18,"Y","Y","USDA/TC/Mortens/LM",""
"156","Dawson",1,"Private","Institutional","I","I6","QU","QUMA","QUMA","Quercus macrocarpa","Bur Oak",5,"Y","Y","USDA/TC/LM/NRC",""
"157","Dawson",1,"Private","Institutional","I","I6","AB","ABBA","ABBA","Abies balsamea","Balsam fir",2.2,"Y","Y","USDA/TC/LM",""
"158","Dawson",1,"Private","Institutional","I","I6","AC","ACFR","ACFR","Acer × freemanii","FREEMAN MAPLE",7,"Y","Y","Mortens/LM","Hybrid of silver &red"
"159","Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",10,"N","N","USDA/TC",""
"160","Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",33,"N","N","USDA/TC",""
"161","Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",46,"N","N","USDA/TC",""
"162","Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",40,"N","N","USDA/TC",""
"163","Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",31,"N","N","USDA/TC",""
"164","Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",53,"N","N","USDA/TC",""
"165","Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",45,"N","N","USDA/TC",""
"166","Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",50,"N","N","USDA/TC",""
"167","Dawson",1,"Private","Institutional","I","I6","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",55,"Y","Y","USDA/TC/Mortens/LM",""
"168","Dawson",1,"Private","Institutional","I","I6","FR","FRPE","FRPE","Fraxinus pennsylvanica","Red Ash",20,"Y","Y","USDA/TC/Mortens/LM",""
