"","X","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"118",126,"Dawson",1,"Private","Private","Y","Y73","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",38.3,"N","Y","USDA/TC/LM/Mortens",""
"119",127,"Dawson",1,"Private","Private","Y","Y83","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",50.8,"N","Y","USDA/TC/LM/Mortens",""
"120",128,"Dawson",1,"Private","Private","Y","Y83","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",37.9,"N","Y","USDA/TC/LM/Mortens",""
"121",129,"Dawson",1,"Private","Private","Y","Y84","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",21.6,"N","Y","USDA/TC/LM/Mortens",""
"122",130,"Dawson",1,"Private","Private","Y","Y84","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",65.8,"N","Y","USDA/TC/LM/Mortens",""
"123",131,"Dawson",1,"Private","Private","Y","Y2","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",41.1,"N","Y","USDA/TC/LM/Mortens",""
"124",132,"Dawson",1,"Private","Private","Y","Y1","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",42.2,"N","Y","USDA/TC/LM/Mortens",""
"125",133,"Dawson",1,"Private","Private","Y","Y113","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",29.6,"N","Y","USDA/TC/LM/Mortens",""
"126",134,"Dawson",1,"Private","Private","Y","Y113","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",26.7,"N","Y","USDA/TC/LM/Mortens",""
"127",135,"Dawson",1,"Private","Private","Y","Y113","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",33.2,"N","Y","USDA/TC/LM/Mortens",""
"128",136,"Dawson",1,"Private","Private","Y","Y113","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",19,"N","Y","USDA/TC/LM/Mortens",""
"129",137,"Dawson",1,"Private","Private","Y","Y113","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",18,"N","Y","USDA/TC/LM/Mortens",""
"130",138,"Dawson",1,"Private","Private","Y","Y113","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",21,"N","Y","USDA/TC/LM/Mortens",""
"131",139,"Dawson",1,"Private","Private","Y","Y114","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",30.4,"N","Y","USDA/TC/LM/Mortens",""
"132",140,"Dawson",1,"Private","Private","Y","Y114","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",14.6,"N","Y","USDA/TC/LM/Mortens",""
"133",141,"Dawson",1,"Private","Private","Y","Y114","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",15,"N","Y","USDA/TC/LM/Mortens",""
"134",142,"Dawson",1,"Private","Private","Y","Y118","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",50.4,"N","Y","USDA/TC/LM/Mortens",""
"135",143,"Dawson",1,"Private","Private","Y","Y119","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",7.4,"N","Y","USDA/TC/LM/Mortens",""
"136",144,"Dawson",1,"Private","Private","Y","Y119","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",7.9,"N","Y","USDA/TC/LM/Mortens",""
"137",145,"Dawson",1,"Private","Private","Y","Y119","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",5,"N","Y","USDA/TC/LM/Mortens",""
"138",146,"Dawson",1,"Private","Private","Y","Y119","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",5,"N","Y","USDA/TC/LM/Mortens",""
"139",147,"Dawson",1,"Private","Private","Y","Y119","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",6.2,"N","Y","USDA/TC/LM/Mortens",""
"140",148,"Dawson",1,"Private","Private","Y","Y119","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",5,"N","Y","USDA/TC/LM/Mortens",""
"141",149,"Dawson",1,"Private","Private","Y","Y127","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",15.2,"N","Y","USDA/TC/LM/Mortens",""
"142",150,"Dawson",1,"Private","Private","Y","Y127","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",19.2,"N","Y","USDA/TC/LM/Mortens",""
"143",151,"Dawson",1,"Private","Private","Y","Y129","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",24.1,"N","Y","USDA/TC/LM/Mortens",""
"144",152,"Dawson",1,"Private","Private","Y","Y132","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",10.1,"N","Y","USDA/TC/LM/Mortens",""
"145",153,"Dawson",1,"Private","Private","Y","Y139","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",5,"N","Y","USDA/TC/LM/Mortens",""
"146",154,"Dawson",1,"Private","Private","Y","Y139","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",11,"N","Y","USDA/TC/LM/Mortens",""
"147",155,"Dawson",1,"Private","Private","Y","Y140","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",31.4,"N","Y","USDA/TC/LM/Mortens",""
"148",156,"Dawson",1,"Private","Private","Y","Y140","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",40,"N","Y","USDA/TC/LM/Mortens",""
"149",157,"Dawson",1,"Private","Private","Y","Y140","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",34.3,"N","Y","USDA/TC/LM/Mortens",""
"150",158,"Dawson",1,"Private","Private","Y","Y140","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",44.1,"N","Y","USDA/TC/LM/Mortens",""
"151",159,"Dawson",1,"Private","Private","Y","Y141","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",17.4,"N","Y","USDA/TC/LM/Mortens",""
"152",160,"Dawson",1,"Private","Private","Y","Y149","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",10.7,"N","Y","USDA/TC/LM/Mortens",""
"153",161,"Dawson",1,"Private","Private","Y","Y150","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",5.9,"N","Y","USDA/TC/LM/Mortens",""
"154",162,"Dawson",1,"Private","Private","Y","Y152","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",13.5,"N","Y","USDA/TC/LM/Mortens",""
"155",164,"Dawson",1,"Private","Private","Y","Y161","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",73.1,"N","Y","USDA/TC/LM/Mortens",""
"156",165,"Dawson",1,"Private","Private","Y","Y161","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",24,"N","Y","USDA/TC/LM/Mortens",""
"157",166,"Dawson",1,"Private","Private","Y","Y161","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",13,"N","Y","USDA/TC/LM/Mortens",""
"158",167,"Dawson",1,"Private","Private","Y","Y161","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",30,"N","Y","USDA/TC/LM/Mortens",""
"159",168,"Dawson",1,"Private","Private","Y","Y161","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",24,"N","Y","USDA/TC/LM/Mortens",""
"160",169,"Dawson",1,"Private","Private","Y","Y161","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",92.5,"N","Y","USDA/TC/LM/Mortens",""
"161",170,"Dawson",1,"Private","Private","Y","Y161","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",50.9,"N","Y","USDA/TC/LM/Mortens",""
"162",171,"Dawson",1,"Private","Private","Y","Y161","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",44.5,"N","Y","USDA/TC/LM/Mortens",""
"163",172,"Dawson",1,"Private","Private","Y","Y163","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",5,"N","Y","USDA/TC/LM/Mortens",""
"169",178,"Dawson",1,"Private","Private","Y","Y13","AC","ACPA","ACPA","Acer palmatum","Japanese Maple",35,"N","N","USDA/TC/Mortens",""
"170",179,"Dawson",1,"Private","Private","Y","Y113","AC","ACPA","ACPA","Acer palmatum","Japanese Maple",5,"N","N","USDA/TC/Mortens",""
"171",180,"Dawson",1,"Private","Private","Y","Y113","AC","ACPA","ACPA","Acer palmatum","Japanese Maple",5,"N","N","USDA/TC/Mortens",""
"172",181,"Dawson",1,"Private","Private","Y","Y113","AC","ACPA","ACPA","Acer palmatum","Japanese Maple",5,"N","N","USDA/TC/Mortens",""
"173",185,"Dawson",1,"Private","Private","Y","Y118","AC","ACPA","ACPA","Acer palmatum","Japanese Maple",9.7,"N","N","USDA/TC/Mortens",""
"174",186,"Dawson",1,"Private","Private","Y","Y127","AC","ACPA","ACPA","Acer palmatum","Japanese Maple",32.8,"N","N","USDA/TC/Mortens",""
"175",188,"Dawson",1,"Private","Private","Y","Y149","AC","ACPA","ACPA","Acer palmatum","Japanese Maple",9.9,"N","N","USDA/TC/Mortens",""
