"","X","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"194",207,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",26,"N","N","USDA/TC",""
"195",208,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",51,"N","N","USDA/TC",""
"196",209,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",53,"N","N","USDA/TC",""
"197",210,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",29,"N","N","USDA/TC",""
"198",211,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",50,"N","N","USDA/TC",""
"199",212,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",29,"N","N","USDA/TC",""
"200",213,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",34,"N","N","USDA/TC",""
"201",214,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",54,"N","N","USDA/TC",""
"202",215,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",23,"N","N","USDA/TC",""
"203",216,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",61,"N","N","USDA/TC",""
"204",217,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",86,"N","N","USDA/TC",""
"205",218,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",69,"N","N","USDA/TC",""
"206",219,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",61,"N","N","USDA/TC",""
"207",220,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",60,"N","N","USDA/TC",""
"208",221,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",84,"N","N","USDA/TC",""
"209",222,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",53,"N","N","USDA/TC",""
"210",223,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",80,"N","N","USDA/TC",""
"211",224,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",37,"N","N","USDA/TC",""
"212",225,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",70,"N","N","USDA/TC",""
"213",226,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",54,"N","N","USDA/TC",""
"214",227,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",66,"N","N","USDA/TC",""
"215",228,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",38,"N","N","USDA/TC",""
"216",229,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",56,"N","N","USDA/TC",""
"217",230,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",47,"N","N","USDA/TC",""
"218",231,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",60,"N","N","USDA/TC",""
"219",232,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",30,"N","N","USDA/TC",""
"220",234,"Dawson",1,"Private","Institutional","I","I6","AC","ACPL","ACPL","Acer platanoides","Norway Maple",42,"N","N","USDA/TC",""
"221",235,"Dawson",1,"Private","Institutional","I","I2","AC","ACPL","ACPL","Acer platanoides","Norway Maple",50.5,"N","N","USDA/TC",""
"222",236,"Dawson",1,"Private","Institutional","I","I2","AC","ACPL","ACPL","Acer platanoides","Norway Maple",62.9,"N","N","USDA/TC",""
"223",237,"Dawson",1,"Private","Institutional","I","I2","AC","ACPL","ACPL","Acer platanoides","Norway Maple",55.9,"N","N","USDA/TC",""
"224",238,"Dawson",1,"Private","Institutional","I","I2","AC","ACPL","ACPL","Acer platanoides","Norway Maple",44.9,"N","N","USDA/TC",""
"225",239,"Dawson",1,"Private","Institutional","I","I2","AC","ACPL","ACPL","Acer platanoides","Norway Maple",25.5,"N","N","USDA/TC",""
"226",240,"Dawson",1,"Private","Institutional","I","I2","AC","ACPL","ACPL","Acer platanoides","Norway Maple",28.5,"N","N","USDA/TC",""
"227",241,"Dawson",1,"Private","Institutional","I","I2","AC","ACPL","ACPL","Acer platanoides","Norway Maple",45.1,"N","N","USDA/TC",""
"228",242,"Dawson",1,"Private","Institutional","I","I2","AC","ACPL","ACPL","Acer platanoides","Norway Maple",65.9,"N","N","USDA/TC",""
"229",243,"Dawson",1,"Private","Institutional","I","I2","AC","ACPL","ACPL","Acer platanoides","Norway Maple",43,"N","N","USDA/TC",""
"230",244,"Dawson",1,"Private","Institutional","I","I2","AC","ACPL","ACPL","Acer platanoides","Norway Maple",46.8,"N","N","USDA/TC",""
"231",245,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",79.8,"N","N","USDA/TC",""
"232",246,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",37.3,"N","N","USDA/TC",""
"233",247,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",53.4,"N","N","USDA/TC",""
"234",248,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",54.5,"N","N","USDA/TC",""
"235",249,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",48.7,"N","N","USDA/TC",""
"236",250,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",61.3,"N","N","USDA/TC",""
"237",251,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",30.1,"N","N","USDA/TC",""
"238",252,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",48.7,"N","N","USDA/TC",""
"239",253,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",48.9,"N","N","USDA/TC",""
"240",254,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",58.9,"N","N","USDA/TC",""
"241",255,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",59.8,"N","N","USDA/TC",""
"242",256,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",61.4,"N","N","USDA/TC",""
"243",257,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",57,"N","N","USDA/TC",""
"244",258,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",66.6,"N","N","USDA/TC",""
"245",259,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",31.3,"N","N","USDA/TC",""
"246",260,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",96,"N","N","USDA/TC",""
"247",261,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",44.5,"N","N","USDA/TC",""
"248",262,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",57.3,"N","N","USDA/TC",""
"249",263,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",98,"N","N","USDA/TC",""
"250",264,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",63.5,"N","N","USDA/TC",""
"251",265,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",48.8,"N","N","USDA/TC",""
"252",266,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",34.4,"N","N","USDA/TC",""
"253",267,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",45.2,"N","N","USDA/TC",""
"254",268,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",33.1,"N","N","USDA/TC",""
"255",269,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",48.8,"N","N","USDA/TC",""
"256",270,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",38,"N","N","USDA/TC",""
"257",271,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",24.9,"N","N","USDA/TC",""
"258",272,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",44.5,"N","N","USDA/TC",""
"259",273,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",52.8,"N","N","USDA/TC",""
"260",274,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",45.8,"N","N","USDA/TC",""
"261",275,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",47.6,"N","N","USDA/TC",""
"262",276,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",45.2,"N","N","USDA/TC",""
"263",277,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",16.1,"N","N","USDA/TC",""
"264",278,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",40.4,"N","N","USDA/TC",""
"265",279,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",49.8,"N","N","USDA/TC",""
"266",280,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",43.3,"N","N","USDA/TC",""
"267",281,"Dawson",1,"Private","Institutional","I","I1","AC","ACPL","ACPL","Acer platanoides","Norway Maple",38.2,"N","N","USDA/TC",""
