"","X","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"75",78,"Dawson",1,"Public","Alley","A","A13","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",29.9,"N","Y","USDA/TC/LM/Mortens",""
"76",80,"Dawson",1,"Public","Alley","A","A11","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",30.4,"N","Y","USDA/TC/LM/Mortens",""
"77",81,"Dawson",1,"Public","Alley","A","A11","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",34.3,"N","Y","USDA/TC/LM/Mortens",""
"78",82,"Dawson",1,"Public","Alley","A","A11","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",36.9,"N","Y","USDA/TC/LM/Mortens",""
"79",83,"Dawson",1,"Public","Alley","A","A11","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",35.2,"N","Y","USDA/TC/LM/Mortens",""
"80",84,"Dawson",1,"Public","Alley","A","A11","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",45.1,"N","Y","USDA/TC/LM/Mortens",""
"594",608,"Dawson",1,"Public","Alley","A","A7","AE","AEHI","AEHI","Aesculus hippocastanum","Common Horsechesnut",54.3,"N","N","USDA/TC/Mortens",""
"595",609,"Dawson",1,"Public","Alley","A","A7","AE","AEHI","AEHI","Aesculus hippocastanum","Common Horsechesnut",43.9,"N","N","USDA/TC/Mortens",""
"627",643,"Dawson",1,"Public","Alley","A","A9","AM","AMCA","AMCA","Amelanchier canadensis","Downy Serviceberry",7.5,"Y","Y","USDA/TC/LM","Synonym: Amelanchier arborea"
"628",644,"Dawson",1,"Public","Alley","A","A9","AM","AMCA","AMCA","Amelanchier canadensis","Downy Serviceberry",7.7,"Y","Y","USDA/TC/LM","Synonym: Amelanchier arborea"
"629",645,"Dawson",1,"Public","Alley","A","A9","AM","AMCA","AMCA","Amelanchier canadensis","Downy Serviceberry",7.8,"Y","Y","USDA/TC/LM","Synonym: Amelanchier arborea"
"661",680,"Dawson",1,"Public","Alley","A","A2","BE","BEPA","BEPA","Betula papyrifera","Paper Birch",21,"Y","Y","USDA/TC/LM",""
"745",766,"Dawson",1,"Public","Alley","A","A6","CO","COSA","COSA","Cornus sanquinea","",12.6,"N","N",NA,""
"807",828,"Dawson",1,"Private","Private","A","A5","EU","EUAL","EUAL","Euonymus alatus","Burning Bush",31.4,"N","N","USDA/TC",""
"811",832,"Dawson",1,"Public","Alley","A","A1","FR","FRAM","FRAM","Fraxinus americana","White Ash",51.6,"Y","Y","USDA/TC/LM",""
